freq,c_dest,purpose,duration,tra_mode,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,PER,N1-3,AIR,NR,PL	: u	: u	24302 bu	51587 u	56743 u	65693 u	70350 u	67720 u	: u	: u	80055 u	65550 u	: u
A,DOM,PER,N1-3,AIR,NR,PT	32753 	50871 	45548 	73259 	96405 	161347 	140265 	126309 	52916 	78682 	144201 	167458 	186266 
A,DOM,PER,N1-3,AIR,NR,RO	: u	36049 u	39941 u	24403 u	25033 u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,AIR,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,SE	: 	: 	572136 	710057 	588561 	673836 	651410 	619713 	155994 u	256732 u	551235 u	: 	435101 u
A,DOM,PER,N1-3,AIR,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,DOM,PER,N1-3,AIR,NR,SK	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u
A,DOM,PER,N1-3,AIR,NR,UK	1374159 	1243526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,BUS,NR,AL	: 	: 	: 	: 	: 	1711644 	: 	1679679 	892293 	: 	: 	: 	: 
A,DOM,PER,N1-3,BUS,NR,AT	267038 	242279 	250460 	283850 	351362 	316326 	342106 	316449 	103381 	126339 	306316 	286486 	280344 
A,DOM,PER,N1-3,BUS,NR,BE	: u	: u	: u	31946 u	: u	: u	: u	: u	: u	: u	: u	36769 u	62517 u
A,DOM,PER,N1-3,BUS,NR,BG	477511 b	350654 	339762 	229616 	299223 	391768 	340792 	338681 	117212 	170299 	185836 	208253 	223184 
A,DOM,PER,N1-3,BUS,NR,CH	: u	: u	: u	: u	104037 u	: u	: u	: u	: u	: u	: u	: 	: 
A,DOM,PER,N1-3,BUS,NR,CY	47164 b	21320 u	40319 u	45527 	51192 	41741 	50593 	52970 	: u	19910 u	31775 u	34249 	38572 
A,DOM,PER,N1-3,BUS,NR,CZ	1718189 	1796211 	1261758 	1391137 	1086389 	1330462 	998446 	957847 	557232 	744439 	880265 	550073 	744246 
A,DOM,PER,N1-3,BUS,NR,DE	2130946 	3562004 	3660895 	4966650 	5448547 	4009797 	3803034 	3257300 	840509 u	1493109 u	1132842 u	1495478 u	1630326 u
A,DOM,PER,N1-3,BUS,NR,DK	894103 	834028 b	908202 	840285 	1185889 	759063 	294591 	1027255 	489191 	307929 	384065 	411377 	527197 
A,DOM,PER,N1-3,BUS,NR,EA20	12436330 	13329365 	13937669 	16773496 	17075063 	18005320 	16799241 	17002558 	7026355 	8963768 	12754702 	12198017 	13064908 
A,DOM,PER,N1-3,BUS,NR,EE	312676 	233670 	444247 	325983 	315809 	398697 	543248 	438361 	123130 	183809 	244368 	311148 	365848 
A,DOM,PER,N1-3,BUS,NR,EL	230984 	126312 	195847 	180234 	155429 	165175 	175583 	159503 	47327 	45780 	150786 	98200 	101734 
A,DOM,PER,N1-3,BUS,NR,ES	2955212 	3145303 	2899725 	4587613 b	4609924 	5434507 	5293686 	5352416 	2219438 	3376933 	4389595 	3965845 	4839994 
A,DOM,PER,N1-3,BUS,NR,EU27_2020	26111593 e	24091859 e	25839838 	28097852 	28515888 	28916375 	26406478 	27020619 	12780460 	15042669 	21073567 	20421908 e	21151503 
A,DOM,PER,N1-3,BUS,NR,FI	1069221 b	1156878 	1255707 	1661477 	1707676 	1885936 	1365601 	1681123 	572609 	696080 	952364 	924660 	1251302 
A,DOM,PER,N1-3,BUS,NR,FR	1308795 	1221158 	1252108 	1139837 	1252334 	2028497 	2033316 	2022449 	1902943 	1496237 	2675808 	2468557 	1895668 
A,DOM,PER,N1-3,BUS,NR,HR	490963 	520432 	452123 	276147 	222816 	190746 	186887 	220103 	86754 	78920 	118573 	154472 	154741 
A,DOM,PER,N1-3,BUS,NR,HU	1817458 	1417666 	1614145 	1347677 	1175334 	1069587 	1052669 	965211 	373309 	377917 	501450 	498147 	497974 
A,DOM,PER,N1-3,BUS,NR,IE	238768 	261029 	277368 	248945 	286128 	280915 	398374 	359985 	33356 u	: u	732196 	375989 	515984 
A,DOM,PER,N1-3,BUS,NR,IT	1198144 	910180 	1027584 b	1316273 	973034 	1380831 	900635 	1322004 	281558 u	340107 u	564141 	470799 	357661 u
A,DOM,PER,N1-3,BUS,NR,LT	213445 	173878 	250210 	197576 	219491 	215791 	273123 	281140 	133225 	201041 	247382 	274380 	281289 
A,DOM,PER,N1-3,BUS,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	13452 u	13037 u	10299 u
A,DOM,PER,N1-3,BUS,NR,LV	608106 	469354 	448132 	371732 	371207 	353004 	228708 	260288 	76807 u	130101 	203178 	194664 	233416 
A,DOM,PER,N1-3,BUS,NR,ME	: 	: 	: 	: 	99551 	103856 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,BUS,NR,MK	: 	: 	: 	: 	: 	: 	: 	14354 u	146164 	125247 	: 	: 	: 
A,DOM,PER,N1-3,BUS,NR,NL	347713 b	476589 	424076 	294022 	308737 	355140 	299370 	355623 	183023 	193097 	168714 	148663 u	168006 
A,DOM,PER,N1-3,BUS,NR,NO	: 	384481 	443190 	326645 	247977 	247840 	413916 	: 	: 	187536 u	382789 	407886 	411698 
A,DOM,PER,N1-3,BUS,NR,PL	3201704 	2550902 	3978723 b	3985843 	3925507 	4141777 	3959917 	3816303 	2027070 	2434515 	2896692 	2844310 	2663831 
A,DOM,PER,N1-3,BUS,NR,PT	656994 	461290 	561113 	474616 	360157 	458433 	498877 	460926 	165205 	213502 	339698 	544990 	558995 
A,DOM,PER,N1-3,BUS,NR,RO	4354955 	2625909 	2628741 	2146179 	2372386 	2426746 	2229817 	2037100 	1001553 	1357605 	2039588 	2193399 	1728766 
A,DOM,PER,N1-3,BUS,NR,RS	: 	: 	: 	: 	: 	: 	140906 u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,BUS,NR,SE	: 	: 	1170839 	1383619 	1396097 	791651 	731005 	875664 	1188538 	686198 	1430970 	: 	1701396 
A,DOM,PER,N1-3,BUS,NR,SI	13403 u	44534 	37284 u	: u	37434 u	34213 u	35357 u	32657 u	: u	60146 	58373 	120811 	78940 
A,DOM,PER,N1-3,BUS,NR,SK	315783 	273567 b	443437 	355342 u	380738 u	421655 	342475 	397201 	194047 u	252577 	366428 	278819 	239272 
A,DOM,PER,N1-3,BUS,NR,UK	3647637 	3583796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,BUS_OCC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	30648 u	: u	23486 u	43488 u
A,DOM,PER,N1-3,BUS_OCC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	221587 	457156 	689632 	845204 	924029 
A,DOM,PER,N1-3,BUS_OCC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	28282 u	41523 u	: 
A,DOM,PER,N1-3,BUS_OCC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	88400 u
A,DOM,PER,N1-3,BUS_REG,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	97235 	139651 	162651 	184767 	179696 
A,DOM,PER,N1-3,BUS_REG,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,DOM,PER,N1-3,BUS_REG,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1965912 	2862977 	3672553 	3096257 	3888243 
A,DOM,PER,N1-3,BUS_REG,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	75987 	56211 u	90291 	112949 	: 
A,DOM,PER,N1-3,BUS_REG,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	139308 	118990 	: 	: 	: 
A,DOM,PER,N1-3,BUS_REG,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	308136 	354703 	: 
A,DOM,PER,N1-3,LAND,NR,AL	: 	: 	: 	: 	: 	2444915 	: 	2816246 	1856588 	: 	: 	: 	: 
A,DOM,PER,N1-3,LAND,NR,AT	5764155 	6311140 	6687035 	6346720 	6867620 	6755009 	7346442 	7904281 	6284896 	6667725 	9499556 	9202732 	9360709 
A,DOM,PER,N1-3,LAND,NR,BE	1489881 	1670786 	1435782 	2235671 	1696481 	2171568 b	2469676 	2782431 	2219809 	3594431 	3316240 	3403263 	3113885 
A,DOM,PER,N1-3,LAND,NR,BG	1935275 b	1877711 	1855864 	1423228 	1596173 	2736847 	2335183 	2204807 	1208155 	1677700 	1964634 	2029031 	2263836 
A,DOM,PER,N1-3,LAND,NR,CH	3905121 	4433109 	3991387 	4044123 	3830588 	3965651 	3727798 	4014110 	4074610 	4551500 	4259252 	: 	: 
A,DOM,PER,N1-3,LAND,NR,CY	1074564 b	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 	1282637 
A,DOM,PER,N1-3,LAND,NR,CZ	18611011 	17204185 	18520464 	16203332 	17691687 	20061639 	18480173 	18295960 	12774637 	14486730 	17439582 	12840828 	14471390 
A,DOM,PER,N1-3,LAND,NR,DE	83107784 	85777719 	78808100 	88542490 	85368512 	77825545 	81391098 	83080234 	57123112 	69762473 	66582769 	77896952 	84512807 
A,DOM,PER,N1-3,LAND,NR,DK	17036629 	18780642 b	19170250 	19278658 	16900978 	13447614 	6395340 	11780595 	11592806 	8351769 	8102204 	7673109 	10623680 
A,DOM,PER,N1-3,LAND,NR,EA20	364339986 	356736549 	350354555 	355040315 	360104400 	369437825 	377332505 	376292862 	252768274 	329418969 	353141447 	372023411 	374899425 
A,DOM,PER,N1-3,LAND,NR,EE	1329657 	1378042 	2013242 	2134036 	2585014 	2578652 	3655738 	2747310 	1675402 	1756498 	2132790 	2571067 	2772809 
A,DOM,PER,N1-3,LAND,NR,EL	2392754 	1181103 	1333251 	1262669 	1132028 	1215575 	1245292 	1065332 	1035944 	1049628 	1280806 	1263927 	1185084 
A,DOM,PER,N1-3,LAND,NR,ES	81640743 	80310766 	78393277 	85980704 b	90058273 	95897482 	95457995 	92956244 	49680814 	71669636 	82511073 	84022925 	84904457 
A,DOM,PER,N1-3,LAND,NR,EU27_2020	462737431 e	452977132 e	448314382 	453324698 	459862674 	471543584 	471177718 	476322860 	344051790 	428015211 	464524219 	483373288 e	490286568 
A,DOM,PER,N1-3,LAND,NR,FI	21085738 b	20802063 	19763330 	20173206 	20265324 	20836347 	19836489 	20184699 	14627253 	19540079 	17440794 	15296077 	17633842 
A,DOM,PER,N1-3,LAND,NR,FR	99944699 	98606362 	99195092 	87631483 	86161923 	97538786 	95303210 	96585434 	74440307 	98019098 	106721257 	114437017 	105017038 
A,DOM,PER,N1-3,LAND,NR,HR	2920614 	3027976 	2777160 	1818176 	1278759 	1205780 	1353554 	1710035 	1161636 	1485883 	1413286 	1634696 	1917503 
A,DOM,PER,N1-3,LAND,NR,HU	10395135 	8278785 	9002918 	9175040 	8787343 	8966744 	8665522 	8712393 	5312437 	6026481 	7999770 	7934870 	7983413 
A,DOM,PER,N1-3,LAND,NR,IE	4968563 	4958932 	5269825 	5393145 	5636119 	5952275 	6858520 	7168054 	4474289 	3234071 	8250572 	7704434 	10899595 
A,DOM,PER,N1-3,LAND,NR,IT	21826343 	16765607 	18903571 b	18051240 	22084342 	19404089 	24296071 	20435780 	12121934 	11424582 	15276666 	14114350 	12386948 
A,DOM,PER,N1-3,LAND,NR,LT	1800988 	1772756 	1859041 	1894224 	1809246 	1801918 	1892208 	2040226 	1759632 	2329937 	2751614 	2986346 	3619782 
A,DOM,PER,N1-3,LAND,NR,LU	37316 	48074 	20175 	11722 u	11417 u	22540 	27114 	23059 	111457 	116073 	118096 	152744 	105266 
A,DOM,PER,N1-3,LAND,NR,LV	3264042 	2709534 	2719511 	2575333 	2725360 	2588749 	2250166 	2160232 	1068042 	2021973 	2474862 	2518481 	2714000 
A,DOM,PER,N1-3,LAND,NR,ME	: 	: 	: 	: 	527043 	542721 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,LAND,NR,MK	: 	: 	: 	: 	: 	: 	: 	83307 	146164 	125247 	: 	: 	: 
A,DOM,PER,N1-3,LAND,NR,NL	19599720 b	17499898 	16970516 	16096690 	16120149 	16092038 	15192489 	15579752 	12595859 	20984679 	13873333 	14247170 	14895145 
A,DOM,PER,N1-3,LAND,NR,NO	: 	5599832 	7118151 	6443825 	6523282 	6809080 	10655226 	: 	: 	11697145 	11612464 	11271029 	1213137 
A,DOM,PER,N1-3,LAND,NR,PL	23318231 	22721801 	22406664 b	23224234 	25359003 	26665570 	27609793 	28650011 	21569736 	25587446 	28678202 	29485767 	29684951 
A,DOM,PER,N1-3,LAND,NR,PT	8597475 	8801470 	8959088 	9365311 	9742437 	10536247 	10987342 	12006710 	7143469 	8565776 	11112080 	11484198 	10955949 
A,DOM,PER,N1-3,LAND,NR,RO	9609649 	10235640 	10097003 	9886762 	10272981 	10926044 	10875357 	10879357 	6954658 	10330997 	10705854 	12665851 	12000069 
A,DOM,PER,N1-3,LAND,NR,RS	: 	: 	: 	: 	: 	: 	429355 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,LAND,NR,SE	: 	: 	16906664 	19093129 	19150109 	19301301 	19483846 	19506874 	31871087 	32135119 	36492527 	: 	38359805 
A,DOM,PER,N1-3,LAND,NR,SI	1603955 	1567992 	1472051 	1127833 	1254237 	1416660 	1560193 	1248643 	806440 	2410037 	2034708 	2730185 	2598896 
A,DOM,PER,N1-3,LAND,NR,SK	1890993 	2666527 b	2811721 	3317069 	4193045 	4431455 	4879430 	5249407 	2993088 	3199897 	5001765 	5104940 	5023071 
A,DOM,PER,N1-3,LAND,NR,UK	64505755 	63525167 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,LAND_OTH,NR,AL	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,DOM,PER,N1-3,LAND_OTH,NR,AT	66905 u	80495 u	81903 u	87302 u	118696 	74414 u	130360 	143805 	156253 	143734 	182468 	156035 	128286 
A,DOM,PER,N1-3,LAND_OTH,NR,BE	: u	36664 u	: u	: u	: u	: u	33965 u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,DOM,PER,N1-3,LAND_OTH,NR,CY	: u	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: 
A,DOM,PER,N1-3,LAND_OTH,NR,CZ	110589 u	136690 u	167366 	: u	107709 u	66184 u	: u	72646 u	: u	77112 u	101428 u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,DE	1799852 	2261311 	1917407 	1777195 	2480283 	2096897 	2214985 	1807438 	909270 u	1821165 	1809760 	1806561 	1696340 
A,DOM,PER,N1-3,LAND_OTH,NR,DK	811887 	527730 b	610256 	690506 	569278 	431637 	78735 u	3054330 	231561 u	155630 u	150303 u	: u	171531 u
A,DOM,PER,N1-3,LAND_OTH,NR,EA20	4386013 	4443960 	4508389 	4277395 	5254372 	4800614 	5165289 	4871967 	4687885 	6048214 	5789199 	4427597 	4196088 
A,DOM,PER,N1-3,LAND_OTH,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,EL	15781 u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u	: 
A,DOM,PER,N1-3,LAND_OTH,NR,ES	159394 	185325 	180923 	166259 b	264888 	143617 	320434 	374121 	181307 	203806 	142956 	203673 	172577 
A,DOM,PER,N1-3,LAND_OTH,NR,EU27_2020	6401756 e	5699675 e	5840035 	5636511 	6546861 	5848766 	5643099 	8324795 	5354265 	6716684 	6614103 	5156747 e	4790269 
A,DOM,PER,N1-3,LAND_OTH,NR,FI	77893 bu	: u	: u	: u	: u	: u	: u	: u	241168 	238792 	162870 u	132444 u	244853 
A,DOM,PER,N1-3,LAND_OTH,NR,FR	400626 	359379 	534401 	369754 	481316 	828299 	589727 	689610 	1805170 	1493652 	1993333 	752888 	693549 
A,DOM,PER,N1-3,LAND_OTH,NR,HR	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: 	: 
A,DOM,PER,N1-3,LAND_OTH,NR,HU	32347 	23276 	35374 	51975 	41861 	6632 u	: u	: u	: u	: u	13648 u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,IE	29251 u	35462 u	36181 u	30798 u	34743 u	55215 	82512 	53462 u	: u	: 	100249 u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,IT	587606 	330410 	649030 b	813891 	783956 u	536143 u	937065 	814130 	543443 	643052 	620369 	789669 	540990 
A,DOM,PER,N1-3,LAND_OTH,NR,LT	7951 u	8093 u	25330 	29784 	19556 	50086 	42677 	60614 	22699 u	26235 u	37618 	38109 	36526 
A,DOM,PER,N1-3,LAND_OTH,NR,LU	: u	13358 u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,NL	1041648 b	933164 	857342 	820047 	833361 	811536 	647785 	685899 	679717 	1323904 	489892 	374387 	480821 
A,DOM,PER,N1-3,LAND_OTH,NR,NO	: 	: u	177575 	79039 u	132708 u	147447 u	221245 	: 	: 	142190 u	: u	: u	: 
A,DOM,PER,N1-3,LAND_OTH,NR,PL	307475 u	185519 u	163401 b	149767 	113713 u	104005 u	107200 u	97812 u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,PT	71648 	96524 	128660 	79343 	83496 	124899 	107950 	73580 	45094 	56739 	107479 	61398 	59172 
A,DOM,PER,N1-3,LAND_OTH,NR,RO	460173 	102481 	79074 	65949 	59814 u	58250 u	33400 u	42939 u	32322 u	32022 u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,SE	: 	: 	276177 	362409 	400113 	380437 	205312 u	177209 u	329196 u	373609 	513840 u	: 	: u
A,DOM,PER,N1-3,LAND_OTH,NR,SI	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,SK	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,LAND_OTH,NR,UK	378085 	508482 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	963065 	: 	: 	: 	: 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	5191528 	5529880 	7023574 	6707893 	7024099 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1689632 	3182459 	2687663 	2811881 	2458391 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	1059937 	1467523 	1741831 	1762032 	1967647 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	2955417 	2926189 	2683239 	: 	: 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	1421440 	1566259 	1308395 	1216263 	1242017 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	11241047 	12927781 	15516269 	11351524 	12785054 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	42906640 	49611661 	46143371 	49624238 	55663492 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	9197489 	6671562 	6358992 	5870102 	8227535 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	201597725 	262500405 	271146725 	289853014 	293644974 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	1470556 	1469333 	1734752 	2067028 	2200943 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	965835 	996633 	1097341 	1141907 	1071676 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	44712521 	64282387 	72528155 	73710368 	73271267 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	277745752 	345736078 	362117449 	379988026 e	385981912 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	12398309 	16330174 	13856568 	12026263 	13497324 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	52983179 	73190493 	73368497 	89237727 	83509034 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	1045143 	1372839 	1251262 	1436168 	1696675 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	4297199 	4851477 	6488816 	6337844 	6294819 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	4063497 	2986538 	6722085 	6675587 	9478858 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	9965688 	8830668 	11878555 	10221570 	9311617 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	1564146 	2033594 	2376844 	2578332 	3139673 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	95471 	101327 	90884 	107622 	81784 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	937588 	1823766 	2162804 	2218146 	2309775 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	10205183 	16239090 	10774907 	11001677 	11159334 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	10654427 	10434327 	10156953 	: u
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	17936951 	21392175 	23425223 	24121724 	24261058 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	6746059 	8096738 	10189457 	10482882 	9960520 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	5496243 	8330110 	8013916 	9469649 	9334223 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	26919161 	27595044 	29425678 	: 	29466601 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	761643 	2284763 	1934043 	2481728 	2422249 
A,DOM,PER,N1-3,PRDMV_PAS_X_BUS,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	2473667 	2571805 	4017565 	4105735 	4146247 
A,DOM,PER,N1-3,RAIL,NR,AL	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,DOM,PER,N1-3,RAIL,NR,AT	943738 	1005140 	951032 	943458 	957962 	1032981 	1210941 	1272695 	806237 	833507 	1892005 	2001995 	1890984 
