freq,c_dest,unit,purpose,duration,accommod,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,PER,N1-3,NR_OTH,ME	: 	: 	: 	: 	: u	30578 u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OTH,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OTH,MT	: 	: u	: u	9154 u	13220 u	10309 u	: u	: u	13965 u	: u	: u	: u	22598 u
A,DOM,NR,PER,N1-3,NR_OTH,NL	: u	: u	: u	105938 u	: u	: u	: u	: u	93299 u	295965 	837868 	820350 	608366 
A,DOM,NR,PER,N1-3,NR_OTH,NO	: 	373849 	426158 	300878 u	434020 	498346 	726535 	: 	: 	599756 	530441 	818116 	506614 
A,DOM,NR,PER,N1-3,NR_OTH,PL	1352973 	1486277 	451421 b	358606 	419065 	580296 	449932 	519313 	432138 	473537 	715981 	608082 	425633 
A,DOM,NR,PER,N1-3,NR_OTH,PT	71067 	100676 	: 	: u	218138 	297273 	408245 	293843 	160796 	139793 	239594 	314478 	218570 
A,DOM,NR,PER,N1-3,NR_OTH,RO	131857 	931401 	916138 	837115 	865548 	941486 	849965 	787667 	203119 	283424 	306446 	491158 	333707 
A,DOM,NR,PER,N1-3,NR_OTH,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OTH,SE	: 	: 	1476312 	1712515 	1860793 	2205806 	1726591 	2442553 	4279022 	4850909 	20843806 	: 	2223715 u
A,DOM,NR,PER,N1-3,NR_OTH,SI	: u	: u	48118 u	: u	: u	: u	: u	: u	: u	78245 	51630 u	91008 	37340 u
A,DOM,NR,PER,N1-3,NR_OTH,SK	199948 u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,DOM,NR,PER,N1-3,NR_OTH,UK	1983889 	2042626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,AL	: 	: 	: 	: 	: 	142371 	: 	142574 	173118 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,AT	235508 	352504 	401857 	527648 	260611 	482407 	414099 	480499 	1064719 	1090656 	1221071 	1306679 	1655174 
A,DOM,NR,PER,N1-3,NR_OWN,BE	170529 u	159662 	122822 u	213166 	88603 u	158128 b	240826 	242299 	411538 	737168 	407189 	452850 	311958 
A,DOM,NR,PER,N1-3,NR_OWN,BG	473488 b	324473 	381912 	150697 	199744 	637188 	576239 	274184 	262206 	378581 	419646 	249243 	391460 
A,DOM,NR,PER,N1-3,NR_OWN,CH	: u	325188 u	561147 u	388250 u	472804 u	411897 u	449873 u	262615 u	: u	: u	645782 u	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,CY	406374 b	348250 b	232559 	518017 	628105 	651946 	780520 	848975 	891829 	946500 	780685 	627369 	675858 
A,DOM,NR,PER,N1-3,NR_OWN,CZ	13688638 	10513056 	12010656 	8046403 	10166601 	11637381 	11140546 	10814952 	8735565 	9495445 	9427105 	5678834 	7517236 
A,DOM,NR,PER,N1-3,NR_OWN,DE	4857680 	3963420 	4201707 	2942408 u	4658554 	5963293 	7288000 	7621723 	3157608 	5704391 	7214763 	5141167 	7758754 
A,DOM,NR,PER,N1-3,NR_OWN,DK	4061741 	4735061 b	4855105 	5000733 	3669050 	2784531 	1303588 	2779304 	4183394 	2715684 	2671967 	2416968 	2940693 
A,DOM,NR,PER,N1-3,NR_OWN,EA20	104128405 	95049167 	95892606 	75613330 	80673345 	84622076 	86651010 	85894887 	53886399 	74903818 	79571234 	76768352 	84204127 
A,DOM,NR,PER,N1-3,NR_OWN,EE	111816 u	56229 u	66827 u	116781 	131456 u	106116 u	248170 	98235 u	175583 u	88984 u	: u	144842 u	167882 u
A,DOM,NR,PER,N1-3,NR_OWN,EL	1920689 	683633 	563796 	387741 	312138 	277758 	375200 	323328 	730915 	332597 	520047 	405967 	379525 
A,DOM,NR,PER,N1-3,NR_OWN,ES	63330077 	58437241 	57621825 	38072321 b	43060579 	45968567 	44463502 	43753446 	21368886 	31127380 	35559864 	34633089 	40221011 
A,DOM,NR,PER,N1-3,NR_OWN,EU27_2020	133797425 e	119859295 e	122482082 	98620323 	104634349 	110906353 	111410363 	110587534 	91256316 	111232609 	96474587 	89383971 e	110614997 
A,DOM,NR,PER,N1-3,NR_OWN,FI	4749628 b	4634061 	4482689 	4413287 	5224838 	4646508 	4620015 	4599469 	7200841 	9114541 	7339944 	5880375 	7051750 
A,DOM,NR,PER,N1-3,NR_OWN,FR	14580294 	13556885 	13998864 	12066237 	11339680 	12819901 	12994172 	13523279 	8959675 	12467160 	14464215 	15210718 	14071878 
A,DOM,NR,PER,N1-3,NR_OWN,HR	1109964 	1010522 	1092179 	562299 	425903 	477355 	604112 	575425 	585979 	430563 	261353 	678987 	515315 
A,DOM,NR,PER,N1-3,NR_OWN,HU	3277023 	2169498 	1804902 	1809614 	1716453 	1662880 	1548374 	1212468 	1422922 	1582655 	1783650 	1678984 	1420605 
A,DOM,NR,PER,N1-3,NR_OWN,IE	547836 	429474 	503549 	518046 	525525 	594883 	749662 	638413 	129554 	408182 	838855 	732299 	1156559 
A,DOM,NR,PER,N1-3,NR_OWN,IT	4198233 	3849609 	3070685 b	3169356 	5285037 	1995461 u	3004680 	2416957 	1563483 	1880262 	2628456 	2161212 	1332412 
A,DOM,NR,PER,N1-3,NR_OWN,LT	302913 	288879 	290298 	284765 	277907 	279310 	222288 	245629 	345413 	465629 	159042 	400237 	857265 
A,DOM,NR,PER,N1-3,NR_OWN,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER,N1-3,NR_OWN,LV	440321 	297633 	388412 	337793 	410779 	404394 	355549 	168211 	213134 	832266 	638772 	715422 	476579 
A,DOM,NR,PER,N1-3,NR_OWN,ME	: 	: 	: 	: 	293269 	198500 u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,MT	: u	73111 u	41265 b	53560 	89935 	55433 	74152 	59694 	131467 	114113 	126720 	115772 	142332 
A,DOM,NR,PER,N1-3,NR_OWN,NL	3349373 b	2974238 	3755950 	3007964 	2907035 	4529084 	4241573 	4661563 	2853216 	3144663 	1377727 	1352601 	1320945 
A,DOM,NR,PER,N1-3,NR_OWN,NO	: 	2844426 	3547953 	3317885 	3675994 	3114093 	5939847 	: 	: 	12137442 	9392011 	9321356 	11750754 
A,DOM,NR,PER,N1-3,NR_OWN,PL	1986256 	948957 	1496865 b	1275870 	1180818 	1657285 	1980891 	1815331 	1684161 	2035360 	2066894 	2132205 	2197587 
A,DOM,NR,PER,N1-3,NR_OWN,PT	2733399 	3162361 	3993400 	7701932 	3991310 	4155767 	4510032 	4810015 	3434807 	4542594 	4812119 	4930888 	4575495 
A,DOM,NR,PER,N1-3,NR_OWN,RO	1278286 	1176956 	1176642 	905081 	998954 	1023981 	1045014 	917222 	315390 	418757 	534091 	459384 	507558 
A,DOM,NR,PER,N1-3,NR_OWN,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OWN,SE	: 	: 	4863394 	5818594 	6029384 	6881031 	7164702 	6879187 	20766278 	19702308 	: 	: 	11435731 
A,DOM,NR,PER,N1-3,NR_OWN,SI	1017203 	673519 	864367 	460606 	640658 	588986 	1086769 	401807 	313751 	993331 	744144 	1306673 	1218446 
A,DOM,NR,PER,N1-3,NR_OWN,SK	: u	: u	: u	: u	411370 u	466436 u	374081 u	423579 	347242 u	478569 	414755 u	566710 	312548 u
A,DOM,NR,PER,N1-3,NR_OWN,UK	1183579 	1045025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,AL	: 	: 	: 	: 	: 	3054147 	: 	3507641 	1619418 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,AT	3231264 	3839799 	4237737 	3712174 	4162313 	3940303 	4578351 	5129566 	4214826 	4870960 	5935679 	5350721 	4972082 
A,DOM,NR,PER,N1-3,NR_RF,BE	223323 u	590115 	445629 	687984 	546378 	742564 b	795514 	986339 	778410 	1094215 	983657 	1245603 	868439 
A,DOM,NR,PER,N1-3,NR_RF,BG	2123026 b	2042253 	1868957 	1550684 	1807833 	2837734 	2534731 	2110774 	1155464 	1520897 	1613013 	1787289 	1584844 
A,DOM,NR,PER,N1-3,NR_RF,CH	2429661 	2957498 	2349813 	2505636 	2113006 	2299021 	1939639 	2334417 	2230478 	2195201 	2139145 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,CY	417221 b	615862 b	672989 	578141 	532890 	532550 	503897 	478302 	470603 	384861 	414523 	376034 	379822 
A,DOM,NR,PER,N1-3,NR_RF,CZ	17778086 	17986267 	20037148 	18058760 	18044749 	20757959 	17580401 	17765539 	12097387 	13986899 	16594817 	12708459 	13632343 
A,DOM,NR,PER,N1-3,NR_RF,DE	83755176 	85002797 	83001941 	92598279 	83037390 	75191930 	66433672 	65743873 	58076140 	75053232 	51574617 	60357075 	64395532 
A,DOM,NR,PER,N1-3,NR_RF,DK	19569567 	19738918 b	19558201 	19288908 	17454326 	13080222 	6211797 	10512207 	10287360 	6892069 	6755353 	6744432 	8680784 
A,DOM,NR,PER,N1-3,NR_RF,EA20	361521896 	360556747 	353446773 	354551467 	349292076 	350796029 	338717220 	326032490 	238822987 	317774295 	308826780 	316636134 	313482440 
A,DOM,NR,PER,N1-3,NR_RF,EE	1595595 	1563023 	2357458 	2230830 	2484873 	2476808 	3563491 	2346367 	1225401 	1113991 	1353190 	1869456 	1904947 
A,DOM,NR,PER,N1-3,NR_RF,EL	1959648 	1128041 	1573246 	1423217 	1493876 	1569403 	1402413 	1120844 	841224 	885438 	1372271 	1200914 	1047369 
A,DOM,NR,PER,N1-3,NR_RF,ES	68543073 	71632857 	66182778 	80305899 b	81801987 	82259687 	82533299 	75089657 	44303880 	59870323 	69400864 	71634432 	66860785 
A,DOM,NR,PER,N1-3,NR_RF,EU27_2020	465688470 e	459751220 e	463867715 	462810491 	456531532 	460733686 	440642870 	430132442 	322834491 	409194053 	412657374 	420094602 e	420362746 
A,DOM,NR,PER,N1-3,NR_RF,FI	24152078 b	24007083 	23331750 	23706300 	22928245 	23887815 	21385607 	21259964 	12659999 	17908950 	15035250 	13043543 	16014389 
A,DOM,NR,PER,N1-3,NR_RF,FR	123424565 	122518275 	121680075 	106470231 	103697828 	110511805 	104254351 	104305613 	87561592 	116973247 	119467092 	118101344 	112975046 
A,DOM,NR,PER,N1-3,NR_RF,HR	2949864 	3052726 	3132575 	2144586 	1382223 	1145810 	1255523 	1465946 	1182586 	1261791 	1251966 	1338389 	1528132 
A,DOM,NR,PER,N1-3,NR_RF,HU	11513332 	9569973 	10375362 	10163133 	8996683 	8348291 	8133791 	7862069 	4157339 	5131661 	5681318 	5432523 	5569957 
A,DOM,NR,PER,N1-3,NR_RF,IE	2934049 	2921147 	3041949 	3032258 	3318021 	3211213 	4076450 	4115483 	819203 	2111321 	5214703 	5757218 	7552850 
A,DOM,NR,PER,N1-3,NR_RF,IT	16134679 	11958642 	14586864 b	11732334 	14229464 	15352349 	17712038 	13020233 	7393303 	6744553 	10302100 	8160542 	7178370 
A,DOM,NR,PER,N1-3,NR_RF,LT	1549749 	1437397 	1766502 	1705531 	1185466 	1061063 	1194942 	991423 	830803 	830310 	1038538 	1173282 	1465848 
A,DOM,NR,PER,N1-3,NR_RF,LU	36308 	42441 	10371 u	: u	: u	: u	: u	11882 u	36758 	47292 	57085 	73199 	54652 
A,DOM,NR,PER,N1-3,NR_RF,LV	3195392 	3290691 	3006238 	2825669 	2867848 	2894307 	2435067 	2555685 	863739 	1492778 	2262961 	2294736 	2780614 
A,DOM,NR,PER,N1-3,NR_RF,ME	: 	: 	: 	: 	584937 	741728 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,MK	: 	: 	: 	: 	: 	: 	: 	72106 	95504 	55136 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,MT	69154 u	53168 u	47788 b	46626 	86954 	63189 	43039 	54583 	105981 	135515 	108434 	145889 	154709 
A,DOM,NR,PER,N1-3,NR_RF,NL	15965712 b	13741207 	12397364 	11364799 	10512030 	11332014 	10521015 	10645239 	8148717 	14721701 	6454455 	7031352 	6759560 
A,DOM,NR,PER,N1-3,NR_RF,NO	: 	3386220 	4623710 	4700001 	4323300 	5563185 	8439784 	: 	: 	8091936 	10246726 	9250146 	10891733 
A,DOM,NR,PER,N1-3,NR_RF,PL	24204675 	21106773 	29535529 b	30306058 	32067306 	34037589 	35331407 	35371346 	27483255 	32555756 	35203931 	35765430 	35065705 
A,DOM,NR,PER,N1-3,NR_RF,PT	8973166 	9254594 	8471020 	5219910 	9632797 	9923702 	10159513 	10675429 	6197787 	7456961 	10184937 	10504285 	10035235 
A,DOM,NR,PER,N1-3,NR_RF,RO	15291854 	14956691 	15471893 	14291199 	15259282 	15427526 	15003893 	14706949 	9703113 	13420916 	13557294 	15496055 	14816380 
A,DOM,NR,PER,N1-3,NR_RF,RS	: 	: 	: 	: 	: 	: 	459769 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_RF,SE	: 	: 	13573853 	14600283 	13609277 	15448337 	17129629 	15771069 	19127586 	17911560 	24424869 	: 	27530292 
A,DOM,NR,PER,N1-3,NR_RF,SI	988166 	1155259 	808719 	725637 	809490 	908564 	697694 	759864 	237160 	1584255 	1563324 	2393863 	2171852 
A,DOM,NR,PER,N1-3,NR_RF,SK	1423715 	2751623 b	2693780 	4034662 	4574707 	3770329 	5157739 	5276200 	2874875 	3232603 	4851132 	4584255 	4382207 
A,DOM,NR,PER,N1-3,NR_RF,UK	51300284 	51196648 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,R_APT,AL	: 	: 	: 	: 	: 	: 	: 	: 	184002 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,R_APT,AT	: 	: 	: 	: 	: 	: 	: 	: 	592509 	462691 	1248671 	930684 	976759 
A,DOM,NR,PER,N1-3,R_APT,BE	: 	: 	: 	: 	: 	: 	: 	: 	1100222 	2301209 	2346330 	2193940 	2282358 
A,DOM,NR,PER,N1-3,R_APT,BG	: 	: 	: 	: 	: 	: 	: 	: 	216279 	372302 	337149 	299467 	391813 
A,DOM,NR,PER,N1-3,R_APT,CH	: 	: 	: 	: 	: 	: 	: 	: 	669529 u	759007 u	778339 u	: 	: 
A,DOM,NR,PER,N1-3,R_APT,CY	: 	: 	: 	: 	: 	: 	: 	: 	32275 	59824 	83301 	137202 	219120 
A,DOM,NR,PER,N1-3,R_APT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	879966 	1135881 	1563122 	999812 	988736 
A,DOM,NR,PER,N1-3,R_APT,DE	: 	: 	: 	: 	: 	: 	: 	: 	9933106 	8186688 	9798521 	15489243 	13944133 
A,DOM,NR,PER,N1-3,R_APT,DK	: 	: 	: 	: 	: 	: 	: 	: 	2551091 	2065106 	1907297 	1460969 	2960782 
A,DOM,NR,PER,N1-3,R_APT,EA20	: u	: u	: u	: u	: u	: u	: u	: u	43293490 	55965831 	66806852 	76172048 	77065119 
A,DOM,NR,PER,N1-3,R_APT,EE	: 	: 	: 	: 	: 	: 	: 	: 	274139 	358598 	464806 	462257 	586025 
A,DOM,NR,PER,N1-3,R_APT,EL	: 	: 	: 	: 	: 	: 	: 	: 	329707 	486541 	477304 	507161 	679203 
A,DOM,NR,PER,N1-3,R_APT,ES	: 	: 	: 	: 	: 	: 	: 	: 	7871765 	11645729 	13918461 	17077646 	17906198 
A,DOM,NR,PER,N1-3,R_APT,EU27_2020	: u	: u	: u	: u	: u	: u	: u	: u	55670191 	70062494 	82584464 	91657234 e	93682612 
A,DOM,NR,PER,N1-3,R_APT,FI	: 	: 	: 	: 	: 	: 	: 	: 	2312581 	2408774 	2498101 	2166405 	2230763 
A,DOM,NR,PER,N1-3,R_APT,FR	: 	: 	: 	: 	: 	: 	: 	: 	13252379 	18611304 	24094067 	23756819 	23384805 
A,DOM,NR,PER,N1-3,R_APT,HR	: 	: 	: 	: 	: 	: 	: 	: 	425076 	522890 	759597 	677328 	791508 
A,DOM,NR,PER,N1-3,R_APT,HU	: 	: 	: 	: 	: 	: 	: 	: 	486529 	614825 	785782 	785166 	894437 
A,DOM,NR,PER,N1-3,R_APT,IE	: 	: 	: 	: 	: 	: 	: 	: 	610288 	297699 	594956 	736319 	882659 
A,DOM,NR,PER,N1-3,R_APT,IT	: 	: 	: 	: 	: 	: 	: 	: 	813924 u	1582713 	1334867 	1784098 	1594191 
A,DOM,NR,PER,N1-3,R_APT,LT	: 	: 	: 	: 	: 	: 	: 	: 	604323 	1022153 	1311281 	1475848 	1537178 
A,DOM,NR,PER,N1-3,R_APT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	11611 u	: u	: u	: u
A,DOM,NR,PER,N1-3,R_APT,LV	: 	: 	: 	: 	: 	: 	: 	: 	62081 u	95154 u	95851 u	96498 u	178978 
A,DOM,NR,PER,N1-3,R_APT,MK	: 	: 	: 	: 	: 	: 	: 	: 	152219 	150642 	: 	: 	: 
A,DOM,NR,PER,N1-3,R_APT,MT	: 	: 	: 	: 	: 	: 	: 	: 	243803 	200962 	176751 	237496 	211699 
A,DOM,NR,PER,N1-3,R_APT,NL	: 	: 	: 	: 	: 	: 	: 	: 	3743672 	6318380 	6056260 	6329953 	7185053 
A,DOM,NR,PER,N1-3,R_APT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	486215 u	690462 	541779 	1075323 
A,DOM,NR,PER,N1-3,R_APT,PL	: 	: 	: 	: 	: 	: 	: 	: 	4126720 	5263694 	6372214 	6721725 	7148088 
A,DOM,NR,PER,N1-3,R_APT,PT	: 	: 	: 	: 	: 	: 	: 	: 	177708 	239488 	298570 	941094 	1085997 
A,DOM,NR,PER,N1-3,R_APT,RO	: 	: 	: 	: 	: 	: 	: 	: 	536449 	826996 	941241 	1173007 	1293047 
A,DOM,NR,PER,N1-3,R_APT,SE	: 	: 	: 	: 	: 	: 	: 	: 	3579667 	3817859 	3870807 	: 	2940589 
A,DOM,NR,PER,N1-3,R_APT,SI	: 	: 	: 	: 	: 	: 	: 	: 	335020 	602837 	452029 	240497 	393546 
A,DOM,NR,PER,N1-3,R_APT,SK	: 	: 	: 	: 	: 	: 	: 	: 	573576 	550588 	788377 	915332 	981468 
A,DOM,NR,PER,N1-3,R_CAMP,AL	: 	: 	: 	: 	: 	20382 u	: 	: u	26971 u	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,R_CAMP,AT	243423 u	288601 	222116 u	166067 u	227033 u	218792 u	204878 u	232384 u	207144 	155571 u	327254 	454152 	466322 
A,DOM,NR,PER,N1-3,R_CAMP,BE	82154 u	265831 	114685 u	204940 	249769 	214006 b	222556 	191177 u	230338 	392932 	273001 	287498 	448992 
A,DOM,NR,PER,N1-3,R_CAMP,BG	331517 b	211151 	: u	: u	: u	: u	: u	: u	105023 u	: u	: u	132779 u	: u
A,DOM,NR,PER,N1-3,R_CAMP,CH	: u	386938 u	311908 u	284910 u	454891 u	: u	290966 u	: u	416250 u	614065 u	: u	: 	: 
A,DOM,NR,PER,N1-3,R_CAMP,CY	5633 bu	3178 bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	7960 u	: u
A,DOM,NR,PER,N1-3,R_CAMP,CZ	487936 	607980 	576893 	880907 	663265 	563406 	877752 	781504 	561506 	569264 	875211 	634329 	930860 
A,DOM,NR,PER,N1-3,R_CAMP,DE	6643013 	6921902 	5549393 	5961646 	4983324 	5451999 	9077793 	8686037 	4728901 	4774168 	5989694 	5800628 	8487081 
A,DOM,NR,PER,N1-3,R_CAMP,DK	358223 	648699 b	795737 	698909 	805138 	931507 	579956 	1238392 	1352151 	1025762 	912933 	835060 	1007860 
A,DOM,NR,PER,N1-3,R_CAMP,EA20	21105517 	20328641 	19814238 	17988568 	18209462 	19041678 	23139797 	23193564 	14865225 	20175484 	23020204 	22664946 	24009093 
A,DOM,NR,PER,N1-3,R_CAMP,EE	: u	59907 u	35141 u	52179 u	73728 u	: u	75969 u	: u	: u	87066 u	: u	64987 u	: u
A,DOM,NR,PER,N1-3,R_CAMP,EL	62658 u	60556 u	31171 u	33102 u	39471 u	27392 u	58110 u	: u	: u	64360 u	40020 u	: u	: u
A,DOM,NR,PER,N1-3,R_CAMP,ES	3271415 	3417703 	3680661 	2923081 b	2766011 	3343213 	3709081 	3489616 	2110553 	2900694 	3701279 	4145519 	3425609 
A,DOM,NR,PER,N1-3,R_CAMP,EU27_2020	25147388 e	24662908 e	23553515 	22206511 	22346056 	23829937 	27217582 	28459152 	21172085 	26115955 	29191239 	28602324 e	30727514 
A,DOM,NR,PER,N1-3,R_CAMP,FI	455007 b	547149 	570744 	353697 	476626 	471491 	522193 	543260 	630249 	727847 	804152 	524772 	822593 
A,DOM,NR,PER,N1-3,R_CAMP,FR	6267816 	5142848 	6224819 	5413447 	5303739 	6674736 	6023504 	6494732 	3915495 	6575548 	7222355 	6726734 	5464555 
A,DOM,NR,PER,N1-3,R_CAMP,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	104556 u	: u	: u	73049 u
A,DOM,NR,PER,N1-3,R_CAMP,HU	191694 	164756 	165217 	200834 	158399 	211351 	141035 	184912 	124717 	153094 	191764 	151443 	227687 
A,DOM,NR,PER,N1-3,R_CAMP,IE	349044 	386151 	384612 	317749 	436611 	522815 	562159 	549256 	181663 	372259 	727265 	371086 	473897 
A,DOM,NR,PER,N1-3,R_CAMP,IT	1229525 	1140359 u	1010849 bu	668355 u	1514858 u	1562298 u	1660760 	1393971 u	1299316 	1291698 	1161001 	1279497 	1149760 u
A,DOM,NR,PER,N1-3,R_CAMP,LT	34105 	48225 	43380 	52105 	18635 	24323 	41796 	36558 	43745 	73664 	84319 	100439 	48878 
A,DOM,NR,PER,N1-3,R_CAMP,LU	: u	: u	: u	: u	: 	: u	: u	: u	27285 u	23801 u	: u	16552 u	: u
A,DOM,NR,PER,N1-3,R_CAMP,LV	187636 	171546 	178373 	148506 	248975 	119526 	190573 	136026 u	137266 	220313 	124416 	204722 	176000 
A,DOM,NR,PER,N1-3,R_CAMP,ME	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,R_CAMP,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 
A,DOM,NR,PER,N1-3,R_CAMP,MT	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER,N1-3,R_CAMP,NL	1725941 b	1449632 	1458447 	1281238 	1620965 	138553 u	214179 u	211461 u	864687 	1796048 	1817353 	1840391 	2255993 
A,DOM,NR,PER,N1-3,R_CAMP,NO	: 	702123 	972423 	1272087 	951325 	907338 	1178949 	: 	: 	1848038 	1596370 	1605075 	1170529 
A,DOM,NR,PER,N1-3,R_CAMP,PL	1073168 	1004839 	500127 b	607247 	721258 	712876 	657305 	581104 	481031 	761186 	691257 	550957 	644017 
A,DOM,NR,PER,N1-3,R_CAMP,PT	87199 	67362 u	171456 	182053 	30980 u	61162 	348166 	893437 	237799 	333715 	448340 	487675 	282833 
A,DOM,NR,PER,N1-3,R_CAMP,RO	103613 u	189366 	175486 	294380 	266880 	303186 	338830 	270104 	73986 u	146211 	157120 	184446 	216470 u
