freq,c_dest,purpose,duration,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,AFR,PER,N1-3,NR,AT	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,BE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,CH	: 	: u	: u	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER,N1-3,NR,CY	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,DE	: 	: u	: u	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,DK	: 	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,EA20	284035 	398118 	355606 	290213 	270672 	418164 	338653 	481277 	75595 	: u	390069 	606065 	725471 
A,AFR,PER,N1-3,NR,EE	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,ES	172728 	146046 	175327 	122335 b	148722 	187327 	179758 	205705 	17690 u	: u	116711 	164070 	296208 
A,AFR,PER,N1-3,NR,EU27_2020	293794 e	404575 e	364023 	301517 	274431 	442193 	356017 	517825 	85702 	: u	391202 	608354 e	810356 
A,AFR,PER,N1-3,NR,FI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,FR	: u	: u	: u	: u	: u	: u	106773 u	122548 u	: u	: u	: u	237819 u	279565 
A,AFR,PER,N1-3,NR,HR	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,HU	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,IE	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 
A,AFR,PER,N1-3,NR,IT	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,LT	: u	: u	: u	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u
A,AFR,PER,N1-3,NR,LU	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,MT	: u	: u	: 	: 	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER,N1-3,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,NO	: 	: u	: 	: u	: u	: u	: u	: 	: 	: u	: 	: 	: 
A,AFR,PER,N1-3,NR,PL	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,PT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,SE	: 	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,SI	: 	: u	: u	: u	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,AFR,PER,N1-3,NR,UK	48814 u	50580 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,AT	183908 	206993 	225518 	229900 	128361 	200073 	260795 	262594 	52240 u	: u	256419 	285148 	323142 
A,AFR,PER,N_GE1,NR,BE	356433 	516204 	385667 	369855 	276777 	465622 b	549076 	586740 	191254 	177144 	515681 	621135 	650721 
A,AFR,PER,N_GE1,NR,BG	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE1,NR,CH	396582 	352999 	259706 	231021 u	203087 u	325182 	412306 	425733 	164089 u	185587 u	202150 u	: 	: 
A,AFR,PER,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	19677 u	: u
A,AFR,PER,N_GE1,NR,CZ	355770 	263460 	277839 	172287 	172115 u	336508 	368075 	420655 	: u	194981 	595660 	583835 	636751 
A,AFR,PER,N_GE1,NR,DE	2390168 	2555790 	2825780 	2290151 	2033111 	3325648 	3987251 	3544462 	729950 u	1098279 u	1886404 	2781634 	4355127 
A,AFR,PER,N_GE1,NR,DK	210624 	103473 bu	127829 u	92432 u	118201 u	101515 u	70531 u	154575 u	: u	: u	96367 u	142841 u	199965 u
A,AFR,PER,N_GE1,NR,EA20	7958717 	7428874 	7710237 	6460528 	5259488 	7732003 	9154494 	9593755 	2448108 	2553377 	6858152 	9752540 	11894833 
A,AFR,PER,N_GE1,NR,EE	40237 u	25315 u	22372 u	26262 u	: u	21538 u	45857 u	43061 u	28335 u	29663 u	32291 u	55491 	50798 u
A,AFR,PER,N_GE1,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	14584 u
A,AFR,PER,N_GE1,NR,ES	733954 	656796 	690641 	650571 b	708382 	879557 	968123 	994989 	179380 	246596 	870023 	1400119 	1567397 
A,AFR,PER,N_GE1,NR,EU27_2020	9068139 e	8327976 e	8727926 	7299112 	5972021 	8873900 	10195826 	10943253 	2703376 	3032620 	8050399 	11131213 e	13921178 
A,AFR,PER,N_GE1,NR,FI	88556 bu	70876 u	: u	: u	: u	: u	: u	99596 u	: u	: u	81973 u	: u	94655 u
A,AFR,PER,N_GE1,NR,FR	2245070 	2032762 	1814139 	1312792 	1064414 	1650645 	1934819 	2171213 	787559 	509115 	1730406 	2666274 	2895461 
A,AFR,PER,N_GE1,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE1,NR,HU	63103 	58148 	53485 	30920 	25225 	60026 	52652 	120650 	9343 u	30609 	45427 	70174 	112266 
A,AFR,PER,N_GE1,NR,IE	49408 u	61219 	71976 	50187 	42049 u	51071 u	51185 u	43879 u	24249 u	: u	118564 u	: u	: u
A,AFR,PER,N_GE1,NR,IT	949621 	580039 	874900 bu	838428 u	431134 u	: u	361933 u	743939 u	: u	: u	541233 u	737453 	569321 
A,AFR,PER,N_GE1,NR,LT	21046 	19542 	38079 	28291 	26232 	40596 	70707 	76406 	18086 	28048 	55823 	69131 	69687 
A,AFR,PER,N_GE1,NR,LU	33298 	36851 	36030 	25566 	27174 	36674 	42521 	41265 	21179 	30272 	69330 	74987 	72472 
A,AFR,PER,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	32933 u	63006 u	68011 u
A,AFR,PER,N_GE1,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,AFR,PER,N_GE1,NR,MT	4633 	5924 	: u	: u	: u	: u	5687 u	8449 u	: u	: u	: u	5239 u	9113 u
A,AFR,PER,N_GE1,NR,NL	554743 b	465282 	462173 	429402 	339305 	496163 	520143 	593072 	140260 	109699 	390767 	471889 	617704 
A,AFR,PER,N_GE1,NR,NO	: 	78769 u	86008 u	110446 u	95719 u	95712 u	99246 u	: 	: 	: u	: u	: u	103856 u
A,AFR,PER,N_GE1,NR,PL	334463 	332689 	414547 b	414413 	204979 	233302 	302155 	333350 	71641 	144261 	314128 	438329 	590330 
A,AFR,PER,N_GE1,NR,PT	73038 	65525 	61426 	63692 	47120 	82724 	127621 	114187 	21272 u	20359 u	141471 	153667 	182271 
A,AFR,PER,N_GE1,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: u	31862 u	22374 u	22016 u	20139 u
A,AFR,PER,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,SE	: 	: 	138438 u	126897 u	192013 u	404695 	243981 	286257 	: u	: u	: u	: 	: u
A,AFR,PER,N_GE1,NR,SI	26349 u	24163 u	22441 u	: u	: u	: u	22418 u	: u	: u	: u	33653 u	42516 u	26972 u
A,AFR,PER,N_GE1,NR,SK	167886 u	: u	: u	: u	: u	: u	88615 u	166128 u	: u	: u	66426 u	159171 u	179749 u
A,AFR,PER,N_GE1,NR,UK	2015026 	2088395 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,AT	180002 	205938 	225518 	225974 	126302 	198084 	258282 	251952 	52240 u	: u	242352 	282140 	313230 
A,AFR,PER,N_GE4,NR,BE	349145 	510511 	378970 	368696 	269281 	436491 b	520134 	563890 	185808 	174234 	479775 	602976 	634474 
A,AFR,PER,N_GE4,NR,BG	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,CH	396582 	346979 	257586 	231021 u	203087 u	325182 	412306 	413526 	164089 u	185587 u	192997 u	: 	: 
A,AFR,PER,N_GE4,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,CZ	355770 	263460 	277839 	172287 	172115 u	336508 	368075 	420655 	: u	194981 	595660 	583835 	619447 
A,AFR,PER,N_GE4,NR,DE	2390168 	2426529 	2776903 	2251664 	2033111 	3228314 	3987251 	3474138 	729950 u	1048468 u	1794457 	2730429 	4344125 
A,AFR,PER,N_GE4,NR,DK	210624 	103473 bu	127829 u	92432 u	114744 u	98508 u	70531 u	146727 u	: u	: u	96367 u	142841 u	181497 u
A,AFR,PER,N_GE4,NR,EA20	7674682 	7030756 	7354632 	6170315 	4988816 	7313839 	8815841 	9112478 	2372513 	2459669 	6468083 	9146475 	11169363 
A,AFR,PER,N_GE4,NR,EE	40237 u	25315 u	22372 u	25048 u	: u	21538 u	45857 u	43061 u	28335 u	29663 u	32291 u	53964 	49752 u
A,AFR,PER,N_GE4,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	13288 u
A,AFR,PER,N_GE4,NR,ES	561226 	510750 	515314 	528236 b	559660 	692230 	788365 	789283 	161690 u	241702 	753312 	1236049 	1271189 
A,AFR,PER,N_GE4,NR,EU27_2020	8774345 e	7923400 e	8363903 	6997595 	5697589 	8431707 	9839809 	10425427 	2617673 	2938913 	7659198 	10522860 e	13110822 
A,AFR,PER,N_GE4,NR,FI	88556 bu	70876 u	: u	: u	: u	: u	: u	99596 u	: u	: u	81973 u	: u	94655 u
A,AFR,PER,N_GE4,NR,FR	2172650 	1997858 	1750638 	1279886 	1032093 	1593935 	1828046 	2048666 	748190 	478807 	1645044 	2428455 	2615896 
A,AFR,PER,N_GE4,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,HU	63103 	58148 	53102 	30516 	25225 	60026 	52652 	120314 	9343 u	30609 	45427 	70174 	112266 
A,AFR,PER,N_GE4,NR,IE	49408 u	54234 	66067 	46620 u	41139 u	51071 u	50170 u	42925 u	21863 u	: u	106241 u	: u	: u
A,AFR,PER,N_GE4,NR,IT	941159 	530023 	832741 bu	769943 u	371796 u	: u	357155 u	743939 u	: u	: u	527174 u	633167 u	491809 u
A,AFR,PER,N_GE4,NR,LT	19268 	18762 	37712 	28291 	26232 	40596 	70707 	74451 	17948 	27353 	55823 	66159 	69581 
A,AFR,PER,N_GE4,NR,LU	32367 	36541 	35027 	25258 	27174 	34562 	42021 	39391 	20658 	30037 	67694 	74084 	71124 
A,AFR,PER,N_GE4,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	32933 u	57103 u	68011 u
A,AFR,PER,N_GE4,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,AFR,PER,N_GE4,NR,MT	4305 	5806 	: u	: u	: u	: u	5212 u	8175 u	: u	: u	: u	5165 u	8738 u
A,AFR,PER,N_GE4,NR,NL	547574 b	445770 	454669 	421744 	333304 	490404 	511298 	560406 	135300 	109699 	376467 	464574 	598751 
A,AFR,PER,N_GE4,NR,NO	: 	73791 u	86008 u	107074 u	85933 u	89134 u	86732 u	: 	: 	: u	: u	: u	103856 u
A,AFR,PER,N_GE4,NR,PL	331293 	332689 	412881 b	413423 	204676 	232073 	294780 	330307 	71641 	144261 	312995 	437085 	589091 
A,AFR,PER,N_GE4,NR,PT	66483 	65190 	59687 	61099 	41782 	78924 	125435 	110948 	18770 u	20359 u	138946 	149947 	171352 
A,AFR,PER,N_GE4,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: u	31862 u	22374 u	22016 u	20139 u
A,AFR,PER,N_GE4,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,SE	: 	: 	132070 u	116987 u	192013 u	384902 	234310 	261736 u	: u	: u	: u	: 	: u
A,AFR,PER,N_GE4,NR,SI	26349 u	22334 u	21685 u	: u	: u	: u	22418 u	: u	: u	: u	32419 u	41272 u	25991 u
A,AFR,PER,N_GE4,NR,SK	167886 u	: u	: u	: u	: u	: u	88615 u	166128 u	: u	: u	66426 u	156424 u	179749 u
